month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,143194,106513,42771,6792,6602,15,77632
2021-02,149063,122083,60896,11146,6186,15,118791
2021-03,153626,127550,57341,12030,7925,15,118465
2021-04,150506,123900,50759,10605,6507,15,118590
2021-05,159469,112923,55482,10973,6445,16,100992
2021-06,192516,136156,57612,7103,9476,17,116430
2021-07,202795,150572,60571,12301,8123,17,114471
2021-08,203122,143491,67439,10237,9795,17,133809
2021-09,202684,164133,78281,16317,8346,17,123542
2021-10,153091,108521,44944,10407,6772,15,105107
2021-11,156521,121715,51946,10736,8205,16,90421
2021-12,159129,126607,54208,7925,8385,16,117203
2022-01,169804,120544,51266,8071,6762,15,103507
2022-02,170751,124730,52100,8527,7517,16,107421
2022-03,177759,149467,66261,9587,9720,15,112468
2022-04,181434,133025,54213,10718,7721,18,114823
2022-05,183385,138485,56367,7618,8216,18,103574
2022-06,233379,195417,85355,18395,11588,18,125613
2022-07,229833,182947,76618,15637,10387,19,126747
2022-08,236497,187161,75324,10739,12970,19,163169
2022-09,237073,180890,83062,16434,11968,18,169566
2022-10,178609,137611,63133,12431,7660,16,89366
2022-11,176233,134857,62253,12046,7695,15,128418
2022-12,188665,139071,63397,7495,9637,16,145251
2023-01,190445,159935,65419,13996,8269,18,98233
2023-02,198093,150360,70457,11842,7877,17,115658
2023-03,208094,157432,71191,13992,10023,17,138946
2023-04,211680,161188,71338,13997,9961,17,162121
2023-05,205597,148106,60297,10026,8373,17,113613
2023-06,258031,189740,80432,18114,11971,19,154661
2023-07,263078,223316,105300,15197,15540,20,196660
2023-08,265013,191569,89268,15611,9827,18,155893
2023-09,266983,196933,95537,14460,13615,19,138207
2023-10,196651,162684,72113,10513,10169,16,151861
2023-11,204459,169292,70111,10924,10133,17,129486
2023-12,208992,161960,73682,15234,9166,17,112265
