month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,115588,87350,38201,8720,4815,14,149265
2021-02,118954,98624,43486,7928,5764,13,170432
2021-03,122575,99160,45102,7793,6387,14,188965
2021-04,131488,98553,42289,9225,5427,14,168742
2021-05,128950,91502,45724,9048,4712,14,198143
2021-06,128756,99378,47094,8784,5008,15,178330
2021-07,125009,88039,35389,6455,5810,14,189938
2021-08,123695,102633,46446,8084,6399,14,202799
2021-09,123060,98834,41347,7525,6268,15,159122
2021-10,125867,91918,37837,7655,5973,14,164309
2021-11,130037,103751,51801,7857,5768,14,171580
2021-12,134249,108147,53888,9418,5659,14,164724
2022-01,140402,104192,45796,9546,7089,15,173459
2022-02,146566,104945,43769,6844,7108,15,192804
2022-03,149087,120016,57984,11659,6466,15,199389
2022-04,150804,113404,54941,6270,7723,16,215626
2022-05,150992,119185,49308,7057,7515,15,204706
2022-06,150452,113492,55083,11288,6198,16,231497
2022-07,146012,123050,57344,11821,7180,14,228986
2022-08,144013,121927,49738,9300,6745,14,181750
2022-09,146914,106805,51508,7106,6382,15,178388
2022-10,146316,123347,60100,9141,6580,15,190290
2022-11,147933,119133,51366,6593,6314,15,179254
2022-12,150909,116968,56532,7619,6702,16,223125
2023-01,159177,115454,57611,5797,6275,16,205907
2023-02,164062,120476,48963,11597,7757,16,245217
2023-03,171275,127377,52852,7607,7201,15,225144
2023-04,174998,129530,59388,8667,8065,16,216728
2023-05,169757,140984,57374,9227,9737,16,232593
2023-06,170140,122576,56625,6857,8150,16,280426
2023-07,166167,125513,58972,11019,7717,15,202737
2023-08,165016,130443,64868,8796,6873,15,263009
2023-09,167491,126804,52431,9601,6639,16,276769
2023-10,167446,118192,54492,9438,6520,16,251725
2023-11,166209,121659,58645,11642,8053,16,225628
2023-12,176024,145453,60330,8588,8438,16,279294
