month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,116535,97094,44296,6468,6286,14,69360
2021-02,123866,98912,39989,9035,6116,14,95049
2021-03,125509,92501,41321,5082,6123,14,78965
2021-04,127643,104813,44557,6571,6460,15,74101
2021-05,126611,89917,40560,6390,5604,14,100651
2021-06,132161,95149,41854,7587,6578,14,90456
2021-07,126856,98211,42517,8905,5202,14,88224
2021-08,128980,99800,48294,6837,6751,14,79320
2021-09,124545,91366,42153,5542,5290,15,72857
2021-10,128404,89914,40484,5371,6208,14,82471
2021-11,129739,95944,47391,9288,6672,14,94562
2021-12,132037,100383,49195,6269,5137,14,100650
2022-01,138182,106348,50002,8453,7281,15,105659
2022-02,145006,116629,48469,11507,7665,15,110483
2022-03,148556,117336,50344,6713,8147,15,106289
2022-04,148416,120807,56980,6257,6761,15,107311
2022-05,149123,123888,50534,11643,6736,14,81739
2022-06,153849,130583,62781,9883,8044,16,119426
2022-07,151248,110131,48338,9662,6132,16,118203
2022-08,146165,111423,48382,9375,5856,15,91799
2022-09,146410,116991,51853,10703,7342,15,83582
2022-10,142859,108053,48655,10429,7111,15,98599
2022-11,151936,128842,55034,11162,7780,16,92157
2022-12,154593,126358,59982,11658,7986,16,87532
2023-01,158839,121547,59072,7563,8171,15,113589
2023-02,161352,124080,57668,8660,6641,16,103581
2023-03,172288,126062,51104,9061,6371,15,126103
2023-04,169958,131193,56771,9759,7221,16,122403
2023-05,171478,128731,57844,6856,8017,16,128632
2023-06,169290,137284,55033,9625,9490,16,99269
2023-07,170255,128668,51942,10521,7956,15,136109
2023-08,167223,134580,59149,8705,8039,16,100702
2023-09,166327,133258,62932,7766,6934,16,114593
2023-10,162942,116107,56342,10709,6734,16,109791
2023-11,167358,127903,60812,10105,8928,16,123220
2023-12,170945,144630,60843,10765,7942,15,121077
