month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,104338,79210,37068,6753,4191,14,64900
2021-02,108011,82743,33186,4881,4414,13,63705
2021-03,112123,81815,37346,6789,5298,13,80628
2021-04,116268,84151,38687,5502,5551,13,92024
2021-05,114009,79992,38761,7638,5295,14,80027
2021-06,117857,84885,35230,5865,5346,14,84947
2021-07,117203,82655,39902,7973,4751,14,69254
2021-08,112026,92742,41736,4686,5354,14,72438
2021-09,114860,94976,41060,8145,4868,14,73184
2021-10,114742,92822,38964,8489,4871,14,75979
2021-11,117097,91157,44040,6061,4766,13,65903
2021-12,118688,90662,43032,6270,4841,13,88794
2022-01,121795,89596,44544,6212,5819,15,82098
2022-02,126895,100309,43926,9408,6949,15,100363
2022-03,130786,107922,49917,6175,6305,15,88256
2022-04,138600,116361,56512,11604,6948,14,80600
2022-05,137609,98135,42694,9804,5957,14,78942
2022-06,133444,100735,43528,7501,5747,15,67596
2022-07,135755,107391,50996,10038,7185,15,107121
2022-08,129204,96522,47152,7779,4966,15,76980
2022-09,130893,105466,44984,9207,6126,15,96663
2022-10,133565,107849,47235,9390,6475,15,95819
2022-11,131385,96324,40283,7421,5425,14,98086
2022-12,139412,109679,46610,10526,6621,14,102669
2023-01,145915,121556,49961,11757,6940,15,77859
2023-02,149717,115895,54395,8987,6066,15,86908
2023-03,152243,125580,60961,8417,8786,16,116537
2023-04,157765,128173,55731,12398,7195,15,100838
2023-05,155482,128313,51515,8662,8841,16,115157
2023-06,152230,128897,62923,10211,7865,15,115566
2023-07,154445,110520,52743,9775,7365,15,88498
2023-08,148990,123182,53673,9397,6827,15,87369
2023-09,150810,117167,50058,5901,7268,16,88948
2023-10,150969,124265,55163,8680,8470,15,108223
2023-11,153463,128602,57859,10179,7445,16,109981
2023-12,156627,131727,58710,8905,7574,15,125299
