month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,105114,78980,38770,7810,4628,14,63515
2021-02,115233,83364,37686,4581,4456,14,64937
2021-03,113547,89320,39348,6997,5741,14,76267
2021-04,119235,92371,40171,8886,6393,13,93053
2021-05,122009,90726,40471,7555,4947,15,65697
2021-06,122333,92201,38759,6164,5290,15,63262
2021-07,119189,98997,45338,7190,6640,13,64109
2021-08,116108,81497,33378,5936,4427,13,70389
2021-09,118020,86908,38916,5381,5493,14,66255
2021-10,116627,96861,43332,9067,6687,14,91964
2021-11,122092,98095,42019,5950,6736,15,63859
2021-12,121811,89013,41199,5511,6192,15,81514
2022-01,130554,103388,50796,6960,6929,15,68705
2022-02,131987,108829,50194,5524,6032,15,74826
2022-03,138421,113638,52716,10197,6203,14,79587
2022-04,139550,116859,48746,6463,6187,15,74043
2022-05,141526,102172,50589,6833,7122,15,100429
2022-06,140207,113493,52966,6515,5927,15,111008
2022-07,139737,103376,46780,9717,5537,15,102988
2022-08,138087,98582,44089,5439,5604,14,108038
2022-09,137447,111156,46663,8697,7151,15,70906
2022-10,136830,115257,53791,6263,7571,15,85351
2022-11,137121,103340,44772,10239,5342,15,91176
2022-12,140668,113891,53896,7162,7196,14,95575
2023-01,146426,116922,50395,10581,6278,14,84893
2023-02,150434,127554,52159,12524,7489,16,118023
2023-03,156947,124936,55035,11510,6582,15,86182
2023-04,159612,134738,60865,7341,8690,15,94822
2023-05,162933,137362,63764,7242,6931,16,120810
2023-06,161326,123222,49401,9656,7415,16,82537
2023-07,154135,110187,46271,9304,7073,16,85950
2023-08,152012,126851,58758,7078,7058,15,92929
2023-09,150286,126747,62321,8177,6562,16,116838
2023-10,150882,115794,51390,6986,6348,16,118643
2023-11,155638,123884,60998,9370,7994,15,83448
2023-12,158121,128498,54013,10846,6998,15,106965
