month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,129660,104455,50619,6376,5601,15,66429
2021-02,137720,115003,56296,6822,7118,15,87645
2021-03,138776,98421,47698,8393,6494,15,87997
2021-04,143864,101550,50469,7236,5389,15,86185
2021-05,143852,114922,48857,6329,7630,14,72554
2021-06,145560,105738,46521,6217,5603,14,106790
2021-07,140994,104204,43920,10020,5964,14,111524
2021-08,145871,109334,53007,6410,6565,15,112941
2021-09,144119,118379,56613,8339,7126,14,114014
2021-10,138839,112391,53721,9830,7107,15,84538
2021-11,142303,101334,42614,7961,6779,14,105251
2021-12,151340,109424,52622,9018,5718,16,100909
2022-01,152142,107119,43865,10047,5679,15,85464
2022-02,158306,113994,54550,11046,6242,16,112402
2022-03,169364,134231,65721,11991,8067,15,91432
2022-04,172436,132276,60845,8900,6634,15,92705
2022-05,169504,129421,52086,10519,8978,16,95034
2022-06,170186,142907,71297,8789,8466,15,103822
2022-07,168475,140774,62001,10320,8549,15,87590
2022-08,164699,130920,62939,10107,8220,16,87332
2022-09,164052,118348,57796,6661,7913,16,97548
2022-10,165530,126089,51855,9458,7133,16,90624
2022-11,166703,138413,58950,11525,7786,15,122253
2022-12,172466,123333,60139,7594,7520,16,113728
2023-01,178050,142370,60072,8406,9928,16,95215
2023-02,190172,135099,57890,7927,7281,17,123589
2023-03,194176,163483,74682,9380,9790,16,98284
2023-04,196005,158602,68889,8786,11000,16,150458
2023-05,195919,155393,62920,14981,8411,16,119330
2023-06,195971,137548,59717,8333,7750,17,124785
2023-07,188421,141181,66628,7500,7714,17,145198
2023-08,186593,144073,62020,11737,8600,16,136957
2023-09,184956,148413,70397,11443,7622,16,138899
2023-10,185186,153384,71689,11463,9694,17,145022
2023-11,191056,159605,67523,8755,9218,17,125163
2023-12,196079,159388,74366,14861,8036,17,139238
