month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,130745,98845,42715,9432,6000,14,83454
2021-02,134030,95968,46978,9152,5472,14,83021
2021-03,142286,104631,47694,10251,6783,15,92814
2021-04,138427,103818,50215,7667,5386,15,98416
2021-05,143341,102312,41999,5116,6598,15,74610
2021-06,142562,115279,57349,10598,6305,14,86311
2021-07,136678,103053,49728,7663,5690,14,71025
2021-08,137412,104313,49450,9814,5637,15,69753
2021-09,137973,109250,50503,10537,5782,14,75885
2021-10,139441,109009,44849,9612,6670,14,93556
2021-11,141194,109643,51448,6214,7130,15,90776
2021-12,144059,117453,53618,10262,7375,15,74284
2022-01,150028,111467,51455,10553,6682,16,93829
2022-02,155666,127806,54210,6873,7279,16,100109
2022-03,163159,114682,48688,6603,7587,16,90340
2022-04,163764,118465,57513,7649,6384,15,113227
2022-05,169616,139380,57793,10294,8420,16,125331
2022-06,168561,118541,48535,11116,6453,16,94292
2022-07,164001,117089,56398,11294,7036,16,130241
2022-08,158479,127239,58606,11156,7154,15,94464
2022-09,159847,130576,55846,11506,7080,15,113485
2022-10,161638,122066,51419,12163,7186,16,128490
2022-11,162006,118866,51573,10838,8136,16,81020
2022-12,166935,119512,56498,9576,7169,16,98238
2023-01,176091,137688,63163,10597,8680,15,129881
2023-02,181490,142213,66631,7259,8123,17,119830
2023-03,190066,149817,63939,11769,8936,18,141027
2023-04,192479,162463,72095,12918,11348,16,126319
2023-05,192187,160755,66229,9818,9853,17,148925
2023-06,191474,135424,61726,11274,8201,16,107973
2023-07,185916,151881,74551,12090,9989,17,122053
2023-08,187040,150559,64100,8855,10392,17,97782
2023-09,183182,151983,67902,13189,10607,16,100859
2023-10,186233,135901,67401,7028,6991,17,117687
2023-11,183035,154882,74023,10068,8003,17,112060
2023-12,193914,164152,77913,11279,10208,18,133750
