month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,256977.5,200048,84404,13717,35486,19,374442
2021-02,270765,225747,101153,12304,42916,20,437859
2021-03,287812.5,209395,84246,15890,36020,21,465493
2021-04,280505,202237,83749,20215,37106,20,423440
2021-05,295137.5,228129,111443,14327,42738,20,369806
2021-06,289125,238105,104041,22499,45997,20,472508
2021-07,289057.5,245112,104679,18946,37625,20,448493
2021-08,285982.5,239187,116176,14524,36781,21,365542
2021-09,278302.5,216669,105660,13136,42788,20,443122
2021-10,280620,197858,80241,15759,33792,20,434484
2021-11,283167.5,226633,103159,11751,36651,21,422220
2021-12,293537.5,241803,110977,16136,42281,20,438562
2022-01,307775,229515,113575,13547,40299,21,415200
2022-02,321587.5,242659,100231,17380,42134,20,479507
2022-03,334240,253572,126422,17114,40328,22,419869
2022-04,341730,256860,119767,20607,42922,21,422808
2022-05,330707.5,274196,133243,25560,43218,22,433667
2022-06,342057.5,239971,104935,17233,38381,21,448123
2022-07,336582.5,276187,128516,16846,51177,22,501214
2022-08,328825,238042,115910,16891,37382,21,510497
2022-09,329092.5,237651,118429,16416,46313,21,555955
2022-10,322620,228363,100345,22614,34931,21,501546
2022-11,331270,254594,109743,16879,43643,22,420833
2022-12,339135,245871,119491,21500,41513,21,572000
2023-01,348610,263527,123552,15444,46311,22,585853
2023-02,364185,297555,144163,29538,47749,23,478671
2023-03,373182.5,308593,152764,28961,47611,24,625012
2023-04,386332.5,326602,131983,16345,57720,22,514256
2023-05,387355,319776,151173,26319,55592,24,584031
2023-06,383967.5,312119,146128,23582,57451,22,579639
2023-07,377362.5,301788,129459,22700,50636,22,461706
2023-08,370380,288836,130778,16215,56566,24,575098
2023-09,373482.5,310218,142839,18547,49394,24,455469
2023-10,375495,264748,125833,25362,40761,22,583559
2023-11,377575,295814,131015,27289,50463,23,618636
2023-12,391622.5,302406,130145,16644,50790,23,517881
