month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,116104,82852,37893,7224,4809,13,63753
2021-02,119049,98828,41793,7952,6664,14,89653
2021-03,126880,106608,49275,6288,7199,15,77678
2021-04,125148,94838,45588,7885,6172,15,81800
2021-05,127260,98250,39433,8393,5494,15,90074
2021-06,127821,95488,40387,6209,6499,15,64086
2021-07,122835,91526,40610,6015,4659,15,82696
2021-08,123322,98125,42575,9112,6063,15,98146
2021-09,119921,87230,42095,5613,4901,14,73724
2021-10,126582,95577,38957,6359,5295,14,74975
2021-11,129598,92685,41071,5211,5684,14,83020
2021-12,131282,109285,44326,7673,6040,14,74089
2022-01,134555,102701,46580,6637,5540,15,100625
2022-02,141354,109471,47490,9489,7295,15,86859
2022-03,145541,109074,50678,5868,5998,15,86636
2022-04,150508,109097,45098,8269,6427,15,108112
2022-05,146434,118996,51175,11417,7714,14,101851
2022-06,149652,108751,46283,7675,7542,15,90522
2022-07,145433,104628,48034,7859,6218,15,107449
2022-08,141473,113527,50007,6989,7152,14,102078
2022-09,140401,98642,41681,7665,6286,14,106169
2022-10,144283,119547,50445,10111,6917,14,96524
2022-11,148129,112360,51688,10143,7281,15,80321
2022-12,147810,113606,51023,7666,5944,15,81516
2023-01,156499,122655,57806,11996,6568,16,79031
2023-02,159244,131058,55268,11924,7428,16,103848
2023-03,168799,139228,61291,10268,9419,15,86507
2023-04,166747,140185,64195,10314,9733,16,91410
2023-05,170344,140158,57174,7564,7466,16,97715
2023-06,171736,143253,71583,10901,8978,16,130301
2023-07,169007,140831,66763,7338,8241,16,114222
2023-08,161806,129581,59932,8069,6840,15,102518
2023-09,160647,132826,59003,9118,7146,16,117762
2023-10,165029,129303,52546,8765,6877,16,104808
2023-11,166027,116282,56618,9300,8039,15,113138
2023-12,171774,144554,59913,9640,8465,15,108783
