month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,62894,54890,24828,5003,9358,13,39905
2021-02,65672.5,56254,27373,2882,9049,13,43346
2021-03,67363,55155,25616,3867,9069,12,37843
2021-04,69097,56571,23043,3100,9796,13,51291
2021-05,70185.5,61145,27479,4434,10908,13,55974
2021-06,67416,58864,24011,3090,9822,13,46729
2021-07,70045.5,59900,26739,4130,11023,13,44749
2021-08,66599.5,59377,27112,2972,10596,13,42500
2021-09,68201.5,59369,27394,5868,10738,12,51751
2021-10,69056.5,56837,24629,3969,10259,13,45433
2021-11,69521,56762,27056,3911,11025,13,53659
2021-12,70971.5,60462,26988,4838,11456,13,38053
2022-01,75444,66805,29862,4052,11425,13,45376
2022-02,77434,62035,27195,4666,10405,12,40952
2022-03,79102.5,67377,30089,5708,10296,13,50418
2022-04,82340,71546,30879,5831,13463,13,55589
2022-05,79383,66452,26862,5580,10375,12,50329
2022-06,81053.5,65295,29617,4290,10005,12,59702
2022-07,80309.5,67104,29958,5200,11777,12,45568
2022-08,77653,64735,31958,4788,11846,13,58493
2022-09,76637,62231,26073,5976,11372,13,45698
2022-10,77980.5,68691,30602,6191,11534,12,47385
2022-11,81677,70353,29489,6055,13108,12,41402
2022-12,83493.5,71218,33389,3915,13364,13,63439
2023-01,83860.5,69351,33248,5840,13283,13,45491
2023-02,89047,76823,37435,7474,13155,12,47179
2023-03,92975.5,82124,39756,7923,15975,14,54205
2023-04,90766,81518,33802,5187,13651,14,64887
2023-05,93997.5,83762,34928,7648,15093,13,54218
2023-06,90929.5,81746,32883,4952,13308,13,46483
2023-07,92962,77510,38271,7626,12290,14,72863
2023-08,90844,73969,36899,4292,11512,13,46084
2023-09,88044.5,73868,35751,4300,11887,13,51958
2023-10,89473.5,75862,33723,4181,11812,12,44968
2023-11,90538,81129,38976,4172,12966,13,49621
2023-12,94326.5,84698,39413,6989,13399,14,67642
