month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,128710,107443,49028,29236,5759,14,89870
2021-02,133173,109173,49044,26758,5495,15,72042
2021-03,133793,120064,56608,33774,7361,15,98984
2021-04,135032,108300,47237,22340,7071,15,85727
2021-05,142439,120366,54184,26771,6355,15,91792
2021-06,136860,110993,54243,26330,6085,15,70974
2021-07,137168,114534,45936,26611,6268,15,83117
2021-08,138749,113494,48228,25524,6286,15,97068
2021-09,132139,117499,47861,26977,7505,15,71781
2021-10,136688,121110,56564,30826,6950,14,72575
2021-11,205754,174964,78824,38224,9808,17,128200
2021-12,200295,172169,83787,42463,9742,17,159472
2022-01,151664,133102,63901,35540,7771,16,102675
2022-02,154021,129828,63418,34931,7666,16,121140
2022-03,158796,128590,53401,32312,7510,15,84380
2022-04,160324,135642,67443,39699,7160,16,90761
2022-05,166201,143148,60646,40330,9668,15,91884
2022-06,162857,145646,60815,31839,8630,16,91864
2022-07,156723,136548,58212,31360,8010,16,83844
2022-08,159005,127833,55290,27856,8485,15,123799
2022-09,153643,136237,54815,31845,8389,16,108324
2022-10,156163,138201,56233,36319,7665,15,95770
2022-11,237162,198325,81637,46130,12442,18,170650
2022-12,240895,216619,104436,47591,12454,19,125846
2023-01,168478,141909,57164,29511,7645,16,121701
2023-02,178906,149891,74590,42712,9988,16,120251
2023-03,184803,160982,65446,32386,10826,16,135786
2023-04,187179,160492,74807,37789,8630,16,105365
2023-05,185140,151194,60485,33878,9991,16,110869
2023-06,185101,148744,74243,32988,9926,17,144484
2023-07,183944,158740,76677,39706,8288,16,104657
2023-08,179177,158823,76798,42965,11021,15,96334
2023-09,181224,149020,71088,41052,7876,17,143856
2023-10,177243,155943,72446,42906,10095,16,129915
2023-11,265036,228727,113826,57779,11446,20,152896
2023-12,272660,232144,115080,66312,12902,20,204236
