month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,128963,98597,47304,5275,6102,24,69477
2021-02,131220,97260,39364,5842,4945,24,92362
2021-03,138823,100470,48592,6416,6880,25,105914
2021-04,140297,114385,53222,7712,7246,26,70729
2021-05,144547,112389,50892,8244,6555,26,82037
2021-06,145468,103031,48603,9697,6480,25,108732
2021-07,137876,115215,53428,9931,7250,24,91521
2021-08,136458,99001,45746,5076,5957,25,87062
2021-09,138098,102658,51270,7344,5749,25,93634
2021-10,141041,116942,51718,8429,8036,25,84686
2021-11,137948,100774,41020,8340,5586,24,92442
2021-12,145926,118859,54153,6030,7568,25,102530
2022-01,152476,108921,49842,8016,7242,27,89675
2022-02,161317,136929,61985,10484,8161,28,104426
2022-03,164513,137110,61637,7550,7067,27,108725
2022-04,162598,114749,50512,6925,6050,27,119655
2022-05,169925,128560,62739,9649,8705,27,135175
2022-06,163667,114750,50597,6724,7877,28,88079
2022-07,159579,123231,54005,10092,7041,26,89303
2022-08,163589,135740,66119,8922,7982,26,115224
2022-09,160990,120981,55175,7283,6808,27,92790
2022-10,158500,129966,57398,10205,8434,26,110863
2022-11,164419,133311,54852,13156,7966,28,91978
2022-12,168306,137240,64748,11061,8370,29,90627
2023-01,178114,138669,57587,7503,7257,28,90425
2023-02,179178,146195,66532,10330,8401,29,112975
2023-03,189647,138160,57381,11270,7208,30,97188
2023-04,186618,136519,65370,7219,9150,28,93726
2023-05,191542,154985,70809,14346,10220,30,124900
2023-06,190178,157571,76010,8806,8110,31,137162
2023-07,183972,136381,62570,10927,7002,30,125736
2023-08,184438,156700,70952,8164,9123,29,145296
2023-09,182664,147724,60641,12199,8411,31,101498
2023-10,181124,127012,59130,11541,8408,30,105664
2023-11,188940,151657,72015,12626,8197,30,117931
2023-12,188734,133182,56787,12911,8765,29,124368
