month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2021-01,143030,114764,51679,10484,7754,15,88463
2021-02,148480,119586,50647,10951,7414,15,94414
2021-03,153792,109317,48317,7356,7553,15,93144
2021-04,158945,134489,65679,12977,8721,16,94876
2021-05,157641,120688,55590,10843,7861,16,103317
2021-06,159693,124101,58340,8096,8254,16,90681
2021-07,157877,124985,60263,12108,8664,16,96586
2021-08,155454,124475,52397,6636,8523,16,81102
2021-09,152792,128596,55125,7474,7825,16,117911
2021-10,156893,116994,53573,9329,6058,16,119194
2021-11,159266,117573,51048,10802,7720,15,114030
2021-12,162611,129556,64339,7183,7801,16,120899
2022-01,170287,127880,55387,7166,8621,16,117016
2022-02,175745,129386,55531,6669,6979,16,117126
2022-03,181515,148522,70507,9829,9955,16,98509
2022-04,188987,132915,54370,10982,7129,17,134647
2022-05,192390,153485,72047,14089,9181,16,121686
2022-06,188786,156291,72904,13361,10747,17,149542
2022-07,182639,139541,58536,13405,8264,17,125612
2022-08,178181,131923,53984,6840,7887,15,108134
2022-09,176715,126630,57479,12324,6799,15,93894
2022-10,179997,152670,75240,13839,8752,15,124486
2022-11,182561,143947,70499,13741,8718,17,97725
2022-12,186465,149422,74087,14160,8265,17,121282
2023-01,195358,157455,68512,13478,9338,17,141444
2023-02,207294,171714,68998,11854,10040,18,154007
2023-03,211890,178182,88945,14935,12042,18,118669
2023-04,217802,173457,86235,15225,10330,17,116157
2023-05,218133,184530,90449,16387,9517,18,141874
2023-06,212370,156258,63193,8487,9785,18,124114
2023-07,207087,145085,59734,10742,9284,17,159547
2023-08,205305,166323,71932,11006,9302,17,108181
2023-09,204583,147734,71700,10281,7959,17,156624
2023-10,210021,166972,68796,10406,9978,18,116482
2023-11,207383,162558,73697,14146,9237,16,109225
2023-12,220457,186106,75088,13790,11688,18,166864
