month,sales,expenses,salaries,marketing,utilities,workforce,liabilities
2024-01,52000,41000,25000,8000,5000,6,12000
2024-02,48000,39500,24000,7500,4800,6,11500
2024-03,55000,42000,26000,8200,5200,7,11000
2024-04,51000,43000,26500,9000,5500,7,10800
2024-05,47000,40000,25000,7800,5000,6,10500
2024-06,44000,38500,24500,7000,4800,6,10000
2024-07,46000,39000,24800,7200,4900,6,9800
2024-08,49000,40500,25200,8000,5100,7,9500
2024-09,53000,41800,25800,8500,5300,7,9200
2024-10,50000,41000,25500,8200,5200,7,9000
2024-11,48000,40200,25200,7800,5000,6,8800
2024-12,51000,41500,25600,8000,5100,7,8500
